Insert sort
sample size	executiontime
0	0.000000
1	0.000000
4	0.000000
9	0.000000
16	0.000000
25	0.000000
36	0.000000
49	0.000000
64	0.000000
81	0.000000
100	0.000000
121	0.016000
144	0.000000
169	0.000000
196	0.000000
225	0.000000
256	0.000000
289	0.000000
324	0.015000
361	0.000000
400	0.000000
441	0.016000
484	0.016000
529	0.000000
576	0.015000
625	0.016000
676	0.031000
729	0.016000
784	0.031000
841	0.015000
900	0.032000
961	0.046000
1024	0.032000
1089	0.046000
1156	0.047000
1225	0.063000
1296	0.062000
1369	0.062000
1444	0.078000
1521	0.078000
1600	0.078000
1681	0.093000
1764	0.125000
1849	0.125000
1936	0.140000
2025	0.156000
2116	0.172000
2209	0.171000
2304	0.187000
2401	0.219000
